text,label
The government has announced free healthcare for all citizens starting next year.,REAL
Scientists discovered a way to live forever using a simple fruit.,FAKE
The election results have been delayed due to a software glitch.,REAL
A man claims to have seen aliens working in a local factory.,FAKE
Pfizer vaccine approved by WHO for emergency use.,REAL
New study reveals chocolate can cure COVID-19.,FAKE
NASA confirms the successful landing of rover on Mars.,REAL
"Drinking bleach cures coronavirus, claims viral post.",FAKE
UN sanctions new climate change treaty for global carbon tax.,REAL
"Cows found to speak a secret language, scientists say.",FAKE
